repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
omdsh-dev/dsh-fun-weather,verified_plugin,README 提供 `dsh plugin --profile web add ./...tgz` 安装命令，package.json#dsh.bundle.patch 自动应用 cordis.patch.yml。,天气页：当前天气、7 日/小时预报、城市设置，以及随天气变化的主题和壁纸效果（Open-Meteo）,dsh plugin --profile web add ./deepseek-ai-dsh-fun-weather-0.1.0.tgz,BSD-3-Clause,low,Host 仅访问 Open-Meteo forecast/geocoding 两个固定域（免 key）；城市搜索与浏览器定位；动态主题会修改 DSH 主题状态,web_ui,README.md（安装命令）+ package.json#dsh.bundle.patch + LICENSE,2026-08-14
omdsh-dev/dsh-kb-sieve,verified_plugin,README 提供 `dsh plugin --profile <profile> add git+https://github.com/dsh-external/dsh-kb-sieve.git` 安装命令，列出 kb_build/kb_query/kb_read 三个工具。,知识库构建与确定性检索：kb_build（md/txt/docx/pdf→FTS5 知识包+零脚本 SKILL.md）、kb_query、kb_read,dsh plugin --profile <profile> add git+https://github.com/dsh-external/dsh-kb-sieve.git,Apache-2.0,low,纯本地计算（本地文件读取、SQLite FTS5、零外部服务、零密钥）；kb_read 拒绝路径穿越,data_tools,README.md（git 安装命令、三工具、License Apache-2.0）,2026-08-14
omdsh-dev/dsh-longbridge,verified_plugin,README 提供 `dsh plugin --profile web add link:/absolute/path/to/dsh-longbridge` 安装命令，package.json#dsh.bundle.patch 自动应用 cordis.patch.yml；列出 9 个 longbridge_* 工具。,长桥港美股券商级行情/账户/交易工具（longbridge_quote/kline/indices/watchlist/account/positions/place_order/cancel_order）+ 设置页凭据管理,dsh plugin --profile web add link:/absolute/path/to/dsh-longbridge,BSD-3-Clause,high,交易工具（下单/撤单）每次调用强制走 DSH 审批通道；凭据（App Key/App Secret/Access Token）写入 DSH 凭据保险箱；访问 Longbridge OpenAPI 账户与持仓数据,data_tools,README.md（安装命令、9 工具、审批通道）+ package.json#dsh.bundle.patch + LICENSE,2026-08-14
omdsh-dev/dsh-paddle-ocr,verified_plugin,README 提供 `dsh plugin --profile web add link:/path/to/dsh-paddle-ocr` 安装命令，插件自带 dsh.bundle.patch 与 dsh.client；列出 paddle_ocr_layout 等工具。,PaddleOCR-VL 文档布局解析：PDF/图片逐页解析为 Markdown（文字+图片落盘），3 个宿主工具 + 配置卡 + 任务面板,dsh plugin --profile web add link:/path/to/dsh-paddle-ocr,BSD-3-Clause,medium,上传本地 PDF/图片到百度 PaddleOCR 云接口（async/sync）；需 AI Studio token（凭据保险箱/环境变量 PADDLE_OCR_TOKEN）；产物落盘工作区,data_tools,README.md（安装命令、工具、License BSD-3-Clause）,2026-08-14
omdsh-dev/dsh-pet-corner,verified_plugin,README 提供 `dsh plugin --profile web add @deepseek-ai/dsh-pet-corner@0.0.1-rc.3` 安装命令并声明 dsh.bundle.patch。,右下角可拖动小猫摸鱼角：猫/狗/狐狸图片、猫咪知识与收藏（宿主白名单代理）,dsh plugin --profile web add @deepseek-ai/dsh-pet-corner@0.0.1-rc.3,BSD-3-Clause,low,图片经宿主白名单代理访问 Cataas/Dog CEO/RandomFox/TheCatAPI/Cat Facts；收藏仅存浏览器 localStorage；免 key,fun,README.md（安装命令 + dsh.bundle.patch + License BSD-3-Clause）,2026-08-14
omdsh-dev/dsh-revive,verified_plugin,README 提供 `dsh plugin --profile web add dsh-revive@0.1.4` 安装命令，插件自带 Profile Bundle；列出 /revive 命令与 revive_sessions 工具。,一键复活被打断的会话：扫描持久化会话、冷恢复、自动发送「继续」指令；/revive 命令 + revive_sessions 工具 + 浏览器按钮,dsh plugin --profile web add dsh-revive@0.1.4,BSD-3-Clause,low,读取本地持久化会话日志（raw artifact），向被打断会话发送「继续」指令；无外部网络/凭据；autoReviveOnStartup 默认关闭（有崩溃循环风险）,automation,README.md（安装命令、/revive 命令、revive_sessions 工具、cordis.patch.yml update 示例）,2026-08-14
omdsh-dev/dsh-scout,verified_plugin,Explicit dsh plugin --profile add install command plus dsh.bundle/cordis.patch.yml manifest; public source with identifiable tool and BSD-3-Clause license.,只读环境探测插件：向模型报告运行环境、PATH 命令、软件版本、CPU/内存/磁盘、端口、服务、USB/串口、GPU 与工作区信息。,node /path/to/DSH/apps/cli/lib/bin.js plugin --profile web add /path/to/dsh-scout,BSD-3-Clause,low,"只读本地探测：仅读精选环境 allowlist，execFile(name,['--version']) 版本探测，无 shell 注入，无网络/凭据/设备写入；枚举端口与服务属本地信息披露。",diagnostics,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml, license BSD-3-Clause",2026-08-14
omdsh-dev/dsh-tool-browser,watchlist,仅提供静态 Cordis overlay 与文档，目标包 @deepseek-ai/dsh-tool-browser 在 registry 返回 404，未分发插件实现或可安装包，无已验证加载路径。,浏览器控制配置 overlay（browser_open/navigate/click/type/extract/screenshot 等工具），针对尚未发布的 @deepseek-ai/dsh-tool-browser。,,BSD-3-Clause,high,浏览器自动化（网络访问 + 截图写入）；当前仅为静态配置，非可运行实现。,search_browser,README.md (HEAD)；package.json 404；README 自述 registry 查询 404、运行验收未完成,2026-08-14
omdsh-dev/dsh-voice-funasr,verified_plugin,显式 dsh plugin --profile web add 安装命令 + package.json#dsh.bundle.patch 自动挂载；公开源码、功能明确、MIT 许可。,DSH Web UI 本地离线语音输入：按住说话 → FunASR 本地转写 → 可选两段式 LLM 润色 → 自动进 composer；本地引擎不可用时回退浏览器 Web Speech API。,dsh plugin --profile web add .,MIT,medium,麦克风采集 + Python FunASR 子进程 sidecar；音频内存流转不落盘；可选润色走用户自己的 LLM 端点（网络出网，与普通对话同信任边界）。,web_ui,README.md (HEAD) + package.json (HEAD): dsh.bundle.patch；MIT,2026-08-14
omdsh-dev/ex-setting,verified_plugin,dsh.bundle/dshClient 清单 + cordis.patch.yml 挂载层（挂载 web-config-crawler），公开源码、功能明确、BSD-3-Clause 许可。,DSH Web 设置扩展 bundle：host 端爬取已注册设置命名空间与 composition rows，客户端渲染为一级设置分区与编辑器。,,BSD-3-Clause,low,仅经 loopback Web 设置面暴露配置；对 secret 脱敏、路径寻址编辑、无模型可见工具/提示词，不新增网络或凭据访问。,web_ui,README.md (HEAD) + package.json (HEAD): dsh.bundle/dshClient 清单 + cordis.patch.yml,2026-08-14
omdsh-dev/omdsh,rejected,非插件基础设施：组件集/发行版 schema 与本地校验工具，无可加载插件或技能，无安装命令。,,,MIT,low,,uncategorized,README.md (HEAD)：仅 distribution schema、fixtures、校验脚本，无 dsh.bundle/cordis 挂载,2026-08-14
omdsh-dev/omdsh-runtime,verified_plugin,package.json 含 dsh.bundle.patch=cordis.patch.yml（bundle 清单 + patch 层），公开源码、功能明确、MIT 许可。,OMDSH 无头运行时：确定性 plan/apply、候选代、确认与回滚恢复；bundle 挂载（默认禁用的）qwen-mm 行以加载 Qwen-MM Agent Skills + MCP 服务器。,,MIT,high,挂载 qwen-mm 行会触发远程 Git 拉取 + 外部 MCP/uvx 进程（blender/freecad 等自动化能力）；默认 disabled，需显式配置 source/ref/capabilities。,developer_tools,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml, license MIT",2026-08-14
omdsh-dev/Qwen-MM-Plugins,verified_plugin,dsh.bundle.patch=cordis.patch.yml（bundle 清单 + patch 层），公开源码、功能明确、BSD-3-Clause 许可。,Qwen-MM 能力作为运行时拉取的 Agent Skills 与严格 MCP 工具服务器（core/video-memory/video-edit/blender/freecad/edu-agent）。,,BSD-3-Clause,high,启用后远程 Git 拉取外部能力并启动 MCP 子进程（uvx），含 blender/freecad 自动化；默认 disabled，需显式配置 source/ref/capabilities，不静默转发凭据环境变量。,vision,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml, license BSD-3-Clause",2026-08-14
omdsh-dev/sandbox-mxc,verified_plugin,dsh.bundle.patch=cordis.patch.yml + 显式 sandbox-mxc profile 行，公开源码、功能明确、BSD-3-Clause 许可。,微软跨平台 MXC 沙盒后端（DSH sandbox seam 的 provider），供 DSH bash/PTY 插件消费。,,BSD-3-Clause,low,fail-closed 沙盒 provider：无模型可见工具/提示词，编译 file-effect 策略、保留 argv/cwd/env，仅作执行约束边界；不静默替换现有 sandbox 行。,developer_tools,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml, license BSD-3-Clause",2026-08-14
omdsh-dev/sandbox-nono,verified_plugin,dsh.bundle.patch=cordis.patch.yml + 显式 sandbox-nono provider 行，公开源码、功能明确、BSD-3-Clause 许可。,nono（Landlock/Seatbelt）沙盒后端，含 vendored @dsh-external/nono-ts 原生执行器载体。,,BSD-3-Clause,low,fail-closed 沙盒 provider：无模型可见工具/提示词，无后端时返回 SANDBOX_UNAVAILABLE，仅作执行约束边界；不支持平台 fail-closed。,developer_tools,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml, license BSD-3-Clause",2026-08-14
omdsh-dev/session-teleport,verified_plugin,profile bundle patch + 插件生命周期 CLI 安装命令（node dist/plugin-cli.js install --profile ...），公开源码、功能明确、BSD-3-Clause 许可。,DeepSeek Harness 多设备 Session 接力：PostgreSQL 权威存储、writer fencing、一次性 handoff code、管理员恢复与审计。,node dist/plugin-cli.js install --profile web --revision <full-commit-sha> --apply --profile-stopped --cutover-safe,BSD-3-Clause,high,处理完整会话数据；本机保存 writer credential（0600 文件）、Bearer API token、管理员 token、PostgreSQL 连接；非 loopback 监听强制服务 Bearer token。,session_chat,README.md (HEAD)：profile bundle patch + dist/plugin-cli.js install 命令 + env 配置,2026-08-14
omdsh-dev/toybox,watchlist,DSH 插件/技能/MCP 集合（源码 + 静态包），但安装依赖尚未发布的 @deepseek-ai/dsh-repository-plugin（registry 404），README 自述无法基于 npm 产物完成安装与运行时验收。,趣味插件玩具箱：skills（code-archaeologist、bug-tamer、code-talent-scout）+ MCP 服务器（老黄历、取名、决策骰子、传统色、时间胶囊）。,,MIT,low,本地技能与 MCP 服务器（零依赖单文件，仅 node: 内置 import），无网络/凭据/设备访问；暂不可安装。,skills,"README.md (HEAD) + package.json (HEAD, MIT)：条件式 dsh-repository-plugin Git source 配置，自述未发布",2026-08-14
omdsh-dev/web-components,verified_plugin,dsh.bundle/dshClient 清单 + cordis.patch.yml 挂载层（web-component 行），公开源码、功能明确、BSD-3-Clause 许可。,DSH Web Component 适配器：将注册的 slot 树以原生 Custom Elements 挂载到浏览器端。,,BSD-3-Clause,low,仅浏览器 UI 渲染：接受纯描述符、JS 属性赋值、CustomEvent 上报，无模型可见工具/提示词，无网络/凭据/设备访问。,web_ui,"README.md (HEAD) + package.json (HEAD): dsh.bundle.patch=cordis.patch.yml + dshClient manifest, license BSD-3-Clause",2026-08-14
Opr4Mp3r/deepseek-harness-plugin-from-scratch,verified_plugin,Loadable TypeScript plugin + code-audited tutorial; package.json has dsh.bundle.patch -> cordis.patch.yml and README documents a full tarball install via dsh plugin add.,"Code-audited progressive guide to production-grade DSH plugin development, shipping a runnable example plugin that registers a greet-tool.",dsh plugin --profile tutorial add ./deepseek-harness-plugin-from-scratch-0.1.0.tgz,MIT,low,"Local-only tutorial/example tool (greet); no network, API keys, or external resources.",developer_tools,README documents pnpm pack then `dsh plugin --profile tutorial add ./...tgz` and cordis.patch.yml layer; package.json `dsh.bundle.patch` -> ./cordis.patch.yml; MIT LICENSE.,2026-08-14
pandashere/dsh-codex-bridge,verified_plugin,Loadable DSH plugin with explicit `npx @deepseek-ai/dsh plugin --profile web add` install plus a dsh.bundle/cordis.patch.yml mount; bridges Codex CLI as callable tools.,Bridges the Codex CLI into DSH as call_codex/codex_status/codex_abort tools with a Web conversation tab observing each session.,npx @deepseek-ai/dsh@0.1.0-rc.6 plugin --profile web add ./dsh-codex-bridge-0.1.0.tgz,MIT,high,"Spawns Codex CLI which executes shell commands in the session working directory with the calling user's privileges; sandbox is a policy (read-only/workspace-write, danger-full-access deploy-only), not a security boundary.",developer_tools,README install/remove commands via npx @deepseek-ai/dsh plugin; package.json dsh bundle + cordis.patch.yml; client served at /plugins/dsh-codex-bridge/client.js; MIT LICENSE.,2026-08-14
pandashere/dsh-kimi-bridge,verified_plugin,Loadable DSH plugin with explicit `npx @deepseek-ai/dsh plugin --profile web add` install and cordis.patch.yml bundle; bridges Kimi CLI as callable tools.,Bridges the Kimi CLI (kimi-code) into DSH as call_kimi/kimi_status/kimi_abort tools with review-only mode and a Web conversation tab.,npx @deepseek-ai/dsh@0.1.0-rc.6 plugin --profile web add ./dsh-kimi-bridge-0.1.0.tgz,MIT,high,Spawns Kimi CLI (runs with permission:auto); default reviewOnly uses a read-only managed home but reviewOnly:false opts into unrestricted tools; CLI owns its own auth credentials.,developer_tools,README install/remove via npx @deepseek-ai/dsh plugin and config; dsh bundle/cordis.patch.yml; client served at /plugins/dsh-kimi-bridge/client.js; MIT LICENSE.,2026-08-14
pandashere/dsh-self-control-guard,verified_plugin,Loadable DSH host plugin with explicit `npx @deepseek-ai/dsh plugin --profile web add` install; intercepts host-kill bash commands and registers controlled exit/restart tools.,Intercepts high-confidence host-kill attempts from the bash tool and provides token-confirmed controlled exit/restart tools for DSH host workflows.,npx @deepseek-ai/dsh@0.1.0-rc.6 plugin --profile web add ./self-control-guard-0.1.0.tgz,MIT,low,"Local host-process interception layer; no network, API keys, or credentials; exit/restart are token-confirmed and routed through launcher seams.",automation,README install/remove via npx @deepseek-ai/dsh plugin and config; host plugin (no browser bundle) verified via Web settings plugin list; MIT LICENSE.,2026-08-14
PangYiMing/dsh-batch-regression,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install (npm and GitHub forms) and shell-based tool scripts.,Run a command N rounds and report median/distribution for batch regression statistics (批量回归取统计结论).,dsh plugin --profile demo add github:PangYiMing/dsh-batch-regression,MIT,medium,"Executes the given local shell command N rounds; no network or credentials, but arbitrary local command execution.",diagnostics,README install section with `dsh plugin --profile demo add dsh-batch-regression` and GitHub form; MIT LICENSE; scripts/runner.sh.,2026-08-14
PangYiMing/dsh-bisect-debug,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install and bisection tooling.,"Bisect bugs by code/comment halving, boundary curl/log checks, or git bisect to locate root cause (二分法定位 bug 根因).",dsh plugin --profile demo add github:PangYiMing/dsh-bisect-debug,MIT,medium,"Runs local shell: curl checks, npm build, and git bisect (executes judge scripts); local only, no credentials.",developer_tools,README install section with `dsh plugin --profile demo add dsh-bisect-debug` and GitHub form; MIT LICENSE.,2026-08-14
PangYiMing/dsh-browser-control,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install and registers 6 browser_* tools via CDP.,"Control browsers over CDP: reuse Chrome login state, navigate, capture console/page errors, screenshot, and eval arbitrary JS.",dsh plugin --profile demo add github:PangYiMing/dsh-browser-control,MIT,high,Browser automation via CDP that read-only copies the user's Chrome login state (Cookies/Login Data/Local Storage) and executes arbitrary JS in pages.,search_browser,README documents 6 browser_* tools and `dsh plugin --profile demo add dsh-browser-control`; scripts/launch.sh + drive.mjs; MIT LICENSE.,2026-08-14
PangYiMing/dsh-mobile-control,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install and registers 8 mobile_* tools driving iOS simulator via WDA.,"Control iOS simulator via WebDriverAgent: screenshot, tap, find elements, accessibility-tree dump, open URLs, grant privacy.",dsh plugin --profile demo add github:PangYiMing/dsh-mobile-control,MIT,high,"Device control over the iOS simulator via WDA (taps, screenshots, privacy grants, deep links); drives any app including system dialogs.",remote_device,README documents 8 mobile_* tools and `dsh plugin --profile demo add dsh-mobile-control`; scripts/wda-up.sh; MIT LICENSE.,2026-08-14
PangYiMing/dsh-port-guard,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install for port-conflict triage tooling.,Triage EADDRINUSE port conflicts (reuse / switch port / precise PID kill) with lsof/ps forensics.,dsh plugin --profile demo add github:PangYiMing/dsh-port-guard,MIT,medium,"Runs local lsof/ps and precise PID kill (SIGTERM then SIGKILL); can terminate processes, local only, no credentials.",developer_tools,README install section with `dsh plugin --profile demo add dsh-port-guard` and GitHub form; scripts/port-guard.sh; MIT LICENSE.,2026-08-14
PangYiMing/dsh-screenshot-diff,verified_plugin,Loadable DSH plugin; README documents `dsh plugin --profile demo add` install for pixel-diff tooling.,Pixel-diff two screenshots into diff.png plus a labeled triptych using pixelmatch (像素对比工具).,dsh plugin --profile demo add github:PangYiMing/dsh-screenshot-diff,MIT,low,"Local-only image processing (sharp/pngjs/pixelmatch); no network, API keys, or credentials.",vision,README install section with `dsh plugin --profile demo add dsh-screenshot-diff` and GitHub form; scripts/diff.sh; MIT LICENSE.,2026-08-14
PeanutsDou/peanut-dsh-plugin,watchlist,"DSH-related personal plugin collection whose only item is dsh-launcher, a Windows WebView2 desktop shell (standalone exe wrapper) with no native DSH plugin load path.",Personal DSH plugin/tool/skin collection; dsh-launcher wraps the DSH Web UI in a standalone WebView2 desktop window.,,MIT,low,Desktop shell that launches dsh web locally (port 3080) and auto-starts it; no network or credential handling beyond presenting the web UI.,ecosystem,"Root README lists only dsh-launcher (desktop shell, fork of Ruler4396/dsh-launcher); dsh-launcher README builds a WinForms WebView2 exe with start-dsh.vbs autostart, no dsh plugin add / bundle / cordis.patch.yml mount.",2026-08-14
Phragmund/dsh-plugin-market,verified_plugin,"Loadable DSH Web plugin; README documents `dsh plugin --profile web add` plus a cordis.patch.yml insert entry, and package.json has a dsh.client field (platform web).","In-Web plugin marketplace panel that fetches GitHub dsh-plugin repos and awesome-dsh-plugins, with filtering and one-click install command copy.",dsh plugin --profile web add github:Phragmund/dsh-plugin-market,MIT,low,Pure frontend panel; fetches GitHub search + awesome-dsh-plugins (no credentials) and copies install commands; runs client-side in the Web UI.,ecosystem,"README install via `dsh plugin --profile web add github:Phragmund/dsh-plugin-market` and cordis.patch.yml `insert` for plugin-market; package.json `dsh.client` (inject @deepseek-ai/dsh-client-runtime, platform web); MIT LICENSE.",2026-08-14
pinkllo/dsh-reasoning-translator,verified_plugin,Native DSH plugin: README documents `dsh plugin --profile ... add ...` commands and a cordis.patch.yml override; package.json declares dsh.bundle.patch.,System-prompt section that makes the model write its visible chain-of-thought in the configured language.,dsh plugin --profile demo add dsh-reasoning-translator,MIT,low,"Prompt-behavior modifier only; no network, credentials, file, browser, or shell access.",session_chat,README.md (HEAD) + package.json (dsh.bundle.patch -> cordis.patch.yml).,2026-08-14
PixLunaLab/dsh-plugin-pixluna,verified_plugin,Native DSH Cordis plugin: `dsh plugin --profile web add dsh-plugin-pixluna` + cordis.patch.yml auto-applied; package.json has dsh.bundle.patch and inject=['tools'].,Registers PixLuna image-source tools (pixluna_get / pixluna_get_pixiv / pixluna_sources) so the model can fetch images from lolicon/pixiv/booru.,dsh plugin --profile web add dsh-plugin-pixluna,MPL-2.0,medium,Network requests to remote image sources; optional Pixiv credentials (phpSESSID) and booru keyPairs in config; R18 content and proxy support.,vision,"README.md (HEAD) + package.json (dsh.bundle, peerDeps @deepseek-ai/cordis & dsh-tools).",2026-08-14
qyw233/dsh-deeplink,verified_plugin,Native DSH Web UI plugin: `dsh plugin --profile web add github:qyw233/dsh-deeplink`; ships dsh.bundle + cordis.patch.yml and a browser client.,WebUI deep-link plugin that opens a specific session/workspace via ?session= / ?workspace= query params and follows the address bar.,dsh plugin --profile web add github:qyw233/dsh-deeplink,MIT,low,"Browser-half URL handling + localStorage settings; node half reads local session/workspace ids. No network, credentials, or shell.",web_ui,README.md (HEAD) + package.json (dsh.bundle.patch + dsh.client web platform).,2026-08-14
randerous/dsh-turn-budget,verified_plugin,"Native DSH plugin in the harness monorepo (packages/guard/turn-budget, @deepseek-ai/dsh-turn-budget): profile-overlay/cordis.patch.yml mount instruction with cordis peerDependencies.",Advisory turn step-budget reminders that append a wrap-up note when an agent turn exceeds a configured step count.,cordis.patch.yml overlay: name '@deepseek-ai/dsh-turn-budget',MIT,low,"Advisory-only reminders; reads local session log, no network, credentials, browser, or shell.",automation,"README.md (HEAD) + package.json (cordis/dsh-agent/dsh-session peerDependencies, harness monorepo).",2026-08-14
randerous/dsh-turn-meta,verified_plugin,"Native DSH plugin in the harness monorepo (packages/context/turn-meta, @deepseek-ai/dsh-turn-meta): cordis.patch.yml insert mount instruction with --patch, cordis peerDependencies.",Injects per-step turn metadata (session/turn/step counts) into the agent request history; doubles as a minimal first-plugin template.,cordis.patch.yml insert: name '@deepseek-ai/dsh-turn-meta' (or --patch),MIT,low,"Metadata header injection only; local, no network, credentials, browser, or shell.",developer_tools,"README.md (HEAD) + package.json (cordis/dsh-agent/dsh-llm peerDependencies, harness monorepo).",2026-08-14
RealAlexandreAI/dsh-all-search,verified_plugin,Native DSH plugin: `dsh plugin --profile web add dsh-all-search` registers an `anysearch` provider on ctx.web with config.,Adds an AnySearch web-search provider (aggregates exa/tavily/firecrawl/context7 behind one API key) to ctx.web.,dsh plugin --profile web add dsh-all-search,MIT,medium,Network search via AnySearch gateway; requires an API key stored in config; queries and result counts sent to the gateway.,search_browser,README.md (HEAD); install + config documented; no package.json needed for verdict.,2026-08-14
RealAlexandreAI/dsh-atuin,verified_plugin,Native DSH plugin: `dsh plugin --profile web add dsh-atuin`; listens to session/event and records prompts into atuin.,Records every typed DSH prompt into atuin shell history (searchable via `atuin search`).,dsh plugin --profile web add dsh-atuin,MIT,medium,Spawns the `atuin` binary as a subprocess and writes typed prompts into local atuin history DB; may capture sensitive input unless deny rules are set. No network exfiltration.,tui,README.md (HEAD); install + config documented.,2026-08-14
RealAlexandreAI/dsh-cloudflare-browser-run,verified_plugin,Native DSH plugin: `dsh plugin --profile web add dsh-cloudflare-browser-run`; registers browse/screenshot/pdf tools.,"Gives the agent real headless-Chrome browser access via Cloudflare Browser Run (markdown/screenshot/pdf, login-capable sessions).",dsh plugin --profile web add dsh-cloudflare-browser-run,MIT,high,Real browser access with login-capable sessions; fetches arbitrary web pages (SSRF-guarded to public web); requires Cloudflare API token + account id in config.,search_browser,README.md (HEAD); install + config documented.,2026-08-14
RealAlexandreAI/dsh-nocturne-memory,verified_plugin,Native DSH plugin: `dsh plugin --profile web add dsh-nocturne-memory`; registers nocturne memory tools (boot/read/search/create/update).,Connects DSH to Nocturne Memory (session-start boot protocol + memory read/search/create/update) via your own MCP server.,dsh plugin --profile web add dsh-nocturne-memory,MIT,medium,Sends memory URIs/queries/content over the network to a user-provided Nocturne MCP server; auth token stored in config; thin client stores nothing locally.,memory_persona,README.md (HEAD); install + config documented.,2026-08-14
rsagacom/dsh-ajw,watchlist,"DSH-ecosystem aggregator/directory (awesome-list style crawler + static site) that curates DSH plugins; not a loadable plugin, no dsh plugin add / mount path.","Daily GitHub aggregator website (ds.ajw.cn) that catalogs DeepSeek Harness/DSH plugins, skills, and awesome lists with one-click install commands.",,MIT,low,Not a runtime plugin; standalone crawler + static site using GitHub Search API with optional GITHUB_TOKEN / Cloudflare purge credentials.,ecosystem,"README.md (HEAD): describes crawler + site, not a loadable plugin.",2026-08-14
SakalioLabs/dsh-code-ide,rejected,README not found,,,Not found,low,,uncategorized,"README.md 404 on HEAD/master/main and all variants (README.en.md, README.zh-CN.md, README_CN.md, README_en.md, readme.md).",2026-08-14
SeverusZh/dsh-notify-windows,verified_plugin,"Native DSH plugin: `dsh plugin --profile web add dsh-notify-windows` + cordis.patch.yml insert and install-profile.ps1; listens to turn/end, approval/asked, tool/call.","Sends Windows desktop toast notifications when a task completes, needs approval, or the agent asks the user a question.",dsh plugin --profile web add dsh-notify-windows,MIT,low,"Windows toast notifications via PowerShell (WinRT Toast API); reads session events locally; no network, credentials, or remote access.",communication,README.md (HEAD); install + cordis.patch.yml + smoke test documented.,2026-08-14
ShawnSiao/dsh-agent-eval,rejected,"README not found (empty repo, no files)",,,Not found,low,,uncategorized,README 404 on HEAD/master/main and all variants; package.json 404; GitHub contents endpoint returns [] (empty repo).,2026-08-14
ShawnSiao/dsh-credentials-keychain,watchlist,DSH-related but no real load path: README states it is design/planning and 'does not yet contain an installable plugin' (install command shown only in future tense).,Planned OS-backed credential provider bundle (Windows Credential Manager / macOS Keychain / Linux Secret Service); not yet installable.,,MIT,medium,Planned credential provider; would manage API keys/secrets in OS keychain (credentials access) if shipped.,developer_tools,"README (HEAD) Status section: design and implementation planning, no installable plugin; planned command 'dsh plugin --profile web add github:ShawnSiao/dsh-credentials-keychain' in future tense; MIT LICENSE referenced.",2026-08-14
shi275773124/falsify-dsh,verified_plugin,Public source with real native install command and declared dsh.bundle.patch layer.,Wraps the public Falsify CLI as adjudicator tools (falsify_lint/falsify_review/falsify_gate) that run `python -m falsify` and return receipts.,"dsh plugin --profile web add ""github:shi275773124/falsify-dsh#v0.1.0""",MIT,medium,Runs `python -m falsify` as a subprocess; passes DEEPSEEK/OPENAI/ANTHROPIC API keys through to the CLI for falsify_review.,developer_tools,"README Install section: `dsh plugin --profile web add ""github:shi275773124/falsify-dsh#v0.1.0""`; states package declares dsh.bundle.patch; tools table; MIT LICENSE.",2026-08-14
shujiTech/dsh-plugin-wepre,verified_plugin,"Public source with native install command, five registered ctx.tools, and documented config.",Publish single-screen content cards to WePre Next from a dsh session (wepre_request_code/login/whoami/publish/qa_report).,dsh plugin --profile web add dsh-plugin-wepre,MIT,medium,"Network calls to WePre Next API; persists login session cookie locally (~/.dsh/wepre-session.json, mode 0600); uses short-lived publish token.",automation,README Install: `dsh plugin --profile web add dsh-plugin-wepre` and github variant; five tools on ctx.tools; cordis.patch.yml config example; MIT LICENSE.,2026-08-14
sjscy05/deepseek-harness-vision-plugin,verified_plugin,Public source with native patch-overlay load path and a Cordis function plugin registering vision_read.,vision_read tool that forwards images/questions to a configurable vision API (OpenAI/Anthropic/Gemini/Zhipu/Qwen/Doubao) and returns text.,pnpm dsh --profile web --patch ./vision-plugin/cordis.yml,MIT,medium,Sends images (local paths/URLs/data URIs) to external vision providers using API keys; keys read from .env.,vision,README 加载插件: `pnpm dsh --profile web --patch ./vision-plugin/cordis.yml`; cordis.yml insert block; ctx.tools.register vision_read; provider matrix; MIT (batch license).,2026-08-14
sjscy05/dsh-task-progress-notifier,verified_plugin,Public source with native install command and cordis.patch.yml bundle.,Tracks todo_write task progress and pops native desktop reminders on task completion (PowerShell balloon / osascript / notify-send).,dsh plugin --profile <name> add github:sjscy05/dsh-task-progress-notifier,MIT,low,Local native desktop notifications only; no network; imports only dsh-provided packages.,automation,README Install: `dsh plugin --profile <name> add github:sjscy05/dsh-task-progress-notifier`; cordis.patch.yml; notify tool; MIT (batch license).,2026-08-14
sjscy05/matlab-modelsim-vivado-plugin,verified_plugin,"Public source with native bundle install command, dsh.bundle manifest, and seven EDA tools.","EDA toolchain (mmv_*): MATLAB/ModelSim/Vivado full-flow compile, simulate, and synthesize via locally installed executables.",pnpm dsh plugin --profile web add ./matlab-modelsim-vivado-plugin,MIT,high,Spawns MATLAB/ModelSim/Vivado subprocesses directly (bypasses dsh shell approval/sandbox); runs arbitrary scripts and Tcl with local file access.,automation,README 安装与加载: `pnpm dsh plugin --profile web add ./matlab-modelsim-vivado-plugin`; declares dsh.bundle manifest; 7 mmv_* tools; MIT (batch license).,2026-08-14
sliverp/DeepSeek-harness-wecom,verified_plugin,Public source with native install command and a WeCom channel bundle using the official SDK.,"WeCom AI Bot channel bridge over the official WebSocket long-connection SDK, routing text/image messages to persistent DSH sessions.",pnpm dsh plugin --profile web add github:sliverp/DeepSeek-harness-wecom,MIT,high,"IM (WeCom) channel with Bot ID/Secret credential (ctx.credentials), WebSocket network, encrypted image download/decryption, and persistent sessions.",communication,README Install from GitHub: `pnpm dsh plugin --profile web add github:sliverp/DeepSeek-harness-wecom`; credential ref WECOM_BOT_SECRET; @wecom/aibot-node-sdk; MIT LICENSE referenced.,2026-08-14
